smiles_cano,MOLECULEID,Absorbance maximum wavelength,E_AgAgCl_V
CC1=CC(/C=C/C2=CC=C(C=O)C=C2)=[N+]2C1=C(C1=CC=C(N(=O)=O)C=C1)C1=C(C)C=C(/C=C/C3=CC=C(C=O)C=C3)N1[B-]2(F)F,BNP_CHO_CHO,,-1.324795619
CC1=CC(/C=C/C2=CC=C(C#N)C=C2)=[N+]2C1=C(C1=CC=C(N(=O)=O)C=C1)C1=C(C)C=C(/C=C/C3=CC=CC=C3)N1[B-]2(F)F,BNP_CN,,-1.401333624
CC1=CC(/C=C/C2=CC=C(C#N)C=C2)=[N+]2C1=C(C1=CC=C(N(=O)=O)C=C1)C1=C(C)C=C(/C=C/C3=CC=C(C#N)C=C3)N1[B-]2(F)F,BNP_CN_CN,,-1.277272593
CC1=CC(/C=C/C2=CC=C(N=[N+]=[N-])C=C2)=[N+]2C1=C(C1=CC=C(N(=O)=O)C=C1)C1=C(C)C=C(/C=C/C3=CC=CC=C3)N1[B-]2(F)F,BNP_N3,,-1.538816725
CC1=CC(/C=C/C2=CC=C(N=[N+]=[N-])C=C2)=[N+]2C1=C(C1=CC=C(N(=O)=O)C=C1)C1=C(C)C=C(/C=C/C3=CC=C(N=[N+]=[N-])C=C3)N1[B-]2(F)F,BNP_N3_N3,,-1.564605745
CC1=CC(/C=C/C2=CC=C(N(=O)=O)C=C2)=[N+]2C1=C(C1=CC=C(N(=O)=O)C=C1)C1=C(C)C=C(/C=C/C3=CC=CC=C3)N1[B-]2(F)F,BNP_NO2,,-1.34494592
CC1=CC(/C=C/C2=CC=C(N(=O)=O)C=C2)=[N+]2C1=C(C1=CC=C(N(=O)=O)C=C1)C1=C(C)C=C(/C=C/C3=CC=C(N(=O)=O)C=C3)N1[B-]2(F)F,BNP_NO2_NO2,,-1.254463467
COC1=CC2=C(C=C1)C=C1CCCC(/C=C/C3=[N+]4C(=C(C5=CC=C(OCC6=CC=C(N(=O)=O)C=C6)C=C5)C5=C(C)C=C(C)N5[B-]4(F)F)C(C)=C3)=C1O2,BONO,,-1.660584669
COC1=CC2=C(C=C1)C=C1CCCC(/C=C/C3=[N+]4C(=C(C5=CC=C(C(=O)CC6=CC=C(N(=O)=O)C=C6)C=C5)C5=C(C)C=C(C)N5[B-]4(F)F)C(C)=C3)=C1O2,BONO_CHO,,-1.705589589
CC1=CC(/C=C/C2=C3OC4=C(C=CC(C#N)=C4)C=C3CCC2)=[N+]2C1=C(C1=CC=C(C(=O)CC3=CC=C(N(=O)=O)C=C3)C=C1)C1=C(C)C=C(C)N1[B-]2(F)F,BONO_CN,,-1.696344793
