substituent,Name,Smiles_Pattern,Smarts_Pattern,Sigma_m,Sigma_P,F_b,R_c
CHjSC(NH2)2+,0.13,0.15,0.14,0.01
SiClMe2,0.16,0.21,0.16,0.05
SiFMe2,0.12,0.17,0.12,0.04
NHEt,-0.24,-0.61,-0.04,-0.57
N(Me)2,-0.16,-0.83,0.15,-0.98
N(Me)S02Me,0.21,0.24,0.21,0.03
S02NMe2,0.51,0.65,0.44,0.21
N(S02Me)2,0.47,0.49,0.45,0.04
SN(Me)2,0.12,0.09,0.15,-0.06
N=NNMe2,-0.05,-0.03,-0.02,-0.01
N(Me)N+=(Me)N-,1.17,1.17,1.10,0.07
P(0)Me2,0.43,0.50,0.40,0.10
PO(OMe)2,0.42,0.53,0.37,0.16
PMe2,0.03,0.06,0.05,0.01
S+Me2,1.00,0.90,0.98,-0.08
S+(Me)2tosyl,1.06,0.96,1.04,-0.08
CH2CH2NH3+,0.23,0.17,0.27,-0.10
SiH(Me)2,0.01,0.04,0.03,0.01
"1-(1,7(BH)10-C2H)",0.25,0.33,0.23,0.10
"2-(l,7(BH)10-C2H)",0.14,0.15,0.16,-0.01
"4-(l,7(BH)10-C2H)",-0.02,0.02,0.00,0.02
"1-(1,2(BH)10-C2H)",0.49,0.43,0.50,-0.07
"3-(l,2(BH)10-C2H)",0.20,0.19,0.22,-0.03
c=cCF3,0.41,0.51,0.37,0.14
CF=CFCF3-t,0.39,0.46,0.36,0.10
N=C(CF3)2,0.29,0.23,0.32,-0.09
CF2CF2CF3,0.44,0.48,0.42,0.06
CF(CF3)2,0.37,0.53,(0.31),0.22
S02CF2CF2CF3,0.92,1.09,0.81,0.28
S02CF(CF3)2,0.92,1.10,0.80,0.30
sCF2CF2CF3,0.45,0.48,0.43,0.05
SCF(CF3)2,0.48,0.51,0.46,0.03
TeCF2CF2CF3,0.46,0.48,0.45,0.03
C(OH)(CF3)2,0.29,0.30,0.29,0.01
CH(SCF3)2,0.44,0.44,0.43,0.01
CH(CN)2,0.53,0.52,0.52,0.00
CH=CHCF3-c,0.16,0.17,0.18,0.01
CH=CHCF3-t,0.24,0.27,0.24,0.03
ch=chSO2CF3,0.31,0.55,0.22,0.33
CH=CHCN,0.24,0.17,0.28,-0.11
C^CMe,0.21,0.03,0.29,-0.26
N(Me)COCF3,0.41,0.39,0.41,-0.02
CH=CHCHO,0.24,0.13,0.29,-0.16
cyclopropyl,-0.07,-0.21,0.02,-0.23
C(Me)=CH2,0.09,0.05,0.13,-0.08
CH=CHMe-t,0.02,-0.09,0.09,-0.18
CH2CH=CH2,-0.11,-0.14,-0.06,-0.08
C(Et)(N02)2,0.56,0.64,0.51,0.13
OCH2CH=CH2,0.09,-0.25,0.25,-0.50
COEt,0.38,0.48,0.34,0.14
COOEt,0.37,0.45,0.34,0.11
CH2OCOMe,0.04,0.05,0.07,-0.02
CH2CH2COOH,-0.03,-0.07,0.02,-0.09
sch2ch=ch2,0.19,0.12,0.23,-0.11
SeCH2CH=CH2,0.21,0.12,0.26,-0.14
CH2CH2CH2-,-0.26,-0.26,-0.20,-0.06
N(Me)COMe,0.31,0.26,0.34,-0.08
CH2NHCOMe,0.05,-0.05,0.12,-0.i7
NHCOOEt,0.11,-0.15,0.23,-0.38
C(N02)Me2,0.18,0.20,0.19,0.01
och2ch2ch2o-,0.00,0.00,0.03,-0.03
isopropyl,-0.04,-0.15,0.04,-0.19
ch2ch2ch3,-0.06,-0.13,0.01,-0.14
N+(Me)=*CHN(Me)-,1.11,1.11,1.05,0.06
NHCONHEt,0.04,-0.26,0.19,-0.45
NHCSNHEt,0.30,0.07,0.40,-0.33
OCHMe2,0.10,(-0.45),0.34,(-0.79)
OCH2CH2CH3,0.10,-0.25,0.26,-0.51
CH2CH(OH)Me,-0.12,-0.17,-0.06,-0.11
C(OOH)Me2,0.06,-0.14,0.17,-0.31
SCHMe2,0.23,0.07,0.30,-0.23
CH2NMe2,0.00,0.01,0.03,-0.02,
GeMe3,0.00,0.00,0.03,-0.03
N+(Me)3,0.88,0.82,0.86,-0.04
CH2NH+(Me)2,0.40,0.43,0.39,0.04
Si(Me)2OMe,0.04,-0.02,0.09,-0.11
OSiMe3,0.13,-0.27,0.31,-0.58
SiMe(OMe)2,0.04,0.10,0.05,0.05
Si(OMe)3,0.09,0.13,0.10,0.03
P+Me3,0.74,0.73,0.71,0.02
SiMe3,-0.04,-0.07,0.01,-0.08
SNMe3,0.00,0.00,0.03,-0.03
"l-(l,2-(BH)10-C2Me)",0.50,0.65,0.43,0.22
"CH2-1-(1,7-(BH)10-C2H)",0.00,0.01,0.03,-0.02
"CH2-1,-(1,2-,(BH),w-C2H)",0.12,0.12,0.14,-0.02
"l-(l,2-(BH)10-C3H3HgCH3)",0.86,0.85,0.82,0.03
2-(hydroxymethyl) carboran-1-yl,0.38,0.49,0.34,0.15
I(OCOCF3)2,1.28,1.34,1.18,0.16
